Player,Positions,Team,Multiplier,Overall,Franchise,Rookie,Tradeable,Salary,Collection,Status,Expires
"Roman Wilson","Wr","PIT","1.5","45","No","No","Yes","4650","2025 Core","Active","2026-10-21"
"Davante Adams","Wr","LAR","1.3","105","No","No","Yes","8060","2025 Core","Listed","2026-10-21"
"George Pickens","Wr","DAL","1.5","130","No","No","No","9600","2025 Core WR","Active","2026-10-19"
"Baker Mayfield","Qb","TB","1.4","116","No","No","No","8260","2025 Core QB","Active","2026-10-19"
"Patrick Mahomes","Qb","KC","1.4","127","No","No","Yes","7700","Primetime-QB","Active","2026-09-16"
"D'Andre Swift","Rb","CHI","1.2","95","No","No","Yes","7320","2025 Core","Active","2027-01-11"
"Mike Evans","Wr","SF","1.5","114","No","No","Yes","9150","2025 Core","Active","2027-01-11"
"Tyrone Tracy Jr.","Rb","NYG","1.5","105","No","No","Yes","7200","2025 Core","Active","2027-01-11"
"Jaylen Waddle","Wr","DEN","1.3","92","No","No","Yes","8190","2025 Core","Active","2027-01-11"
"Jaxson Dart","Qb","NYG","1.4","98","No","No","Yes","7840","2025 Core","Active","2027-01-11"
"Caleb Williams","Qb","CHI","1.4","116","No","No","Yes","8820","2025 Core","Active","2027-01-11"
"DK Metcalf","Wr","PIT","1.4","109","No","No","Yes","7560","2025 Core","Active","2027-01-11"
"Josh Jacobs","Rb","GB","1.3","114","No","No","Yes","8190","Primetime-RB","Active","2026-10-22"
"Geno Smith","Qb","NYJ","1.2","58","Yes","No","Yes","5520","2024 Core","Active","N/A"
"Jauan Jennings","Wr","MIN","1.5","96","No","No","Yes","6450","2025 Core","Active","2026-10-23"
"Jakobi Meyers","Wr","JAX","1.4","94","No","No","Yes","7000","2025 Core","Listed","2026-10-23"
"Christian McCaffrey","Rb","SF","1.4","139","No","No","Yes","10500","2025 Core","Listed","2026-10-23"
"Juwan Johnson","Te","NO","1.1","67","No","No","Yes","4070","2025 Core","Active","2026-11-02"
"Lamar Jackson","Qb","BAL","1.2","112","No","No","Yes","8160","2025 Core","Listed","2026-11-02"
"De'Von Achane","Rb","MIA","1.2","109","No","No","Yes","8400","2025 Core","Active","2026-11-02"
"Nico Collins","Wr","HOU","1.4","123","No","No","Yes","9800","2025 Core","Active","2026-11-01"
"Rhamondre Stevenson","Rb","NE","1.5","96","No","No","Yes","8550","2025 Core","Active","2026-10-23"
"Blake Corum","Rb","LAR","1.2","43","No","No","Yes","6240","2025 Core","Active","2026-10-23"
"Woody Marks","Rb","HOU","1.5","63","No","No","Yes","7500","Primetime-All","Active","2026-11-19"
"Jalen Hurts","Qb","PHI","1.4","129","No","No","Yes","9240","2025 Core","Listed","2026-10-23"
"Tyler Shough","Qb","NO","1.1","57","No","No","Yes","6160","2025 Core","Active","2026-11-23"
"Kenny Gainwell","Rb","TB","1.3","77","No","No","Yes","6760","2025 Core","Active","2026-11-23"
"Nico Collins","Wr","HOU","1.2","106","No","No","Yes","8400","2025 Core","Active","2026-11-23"
"Woody Marks","Rb","HOU","1.3","55","No","No","Yes","6500","2025 Core","Active","2026-11-23"
"Chris Olave","Wr","NO","1.3","98","No","No","Yes","8710","2025 Core","Active","2026-10-24"
"Ja'Marr Chase","Wr","CIN","1.5","144","No","No","Yes","11700","2025 Core","Listed","2026-11-03"
"Emeka Egbuka","Wr","TB","1.3","91","No","No","Yes","8060","2025 Core","Active","2026-11-18"
"Amon-Ra St. Brown","Wr","DET","1.4","132","No","No","Yes","10500","2025 Core","Active","2026-10-28"
"Jayden Higgins","Wr","HOU","1.4","71","No","No","Yes","6300","Primetime-WR","Active","2026-11-18"
"Tee Higgins","Wr","CIN","1.4","116","No","No","Yes","8820","2025 Core","Listed","2026-10-21"
"Tyler Warren","Te","IND","1.1","91","No","No","No","5390","2025 Core","Active","2027-01-13"
"Michael Pittman Jr.","Wr","PIT","1.3","83","No","No","No","6370","2025 Core WR","Active","2027-01-13"
"Xavier Hutchinson","Wr","HOU","1.2","42","No","No","No","3840","2025 Core WR","Active","2027-01-13"
"Harold Fannin Jr.","Te","CLE","1.4","88","No","No","No","5880","2025 Core","Active","2027-01-13"
"Isaiah Davis","Rb","NYJ","1.5","44","No","No","No","6300","2025 Core","Active","2027-01-13"
"Oronde Gadsden","Te","LAC","1.4","70","No","No","No","4900","2025 Core","Active","2027-01-13"
"Lamar Jackson","Qb","BAL","1.2","112","No","No","No","8160","2025 Core","Active","2027-01-13"
"Quentin Johnston","Wr","LAC","1.5","68","No","No","Yes","7050","2025 Core","Active","2026-11-12"
"Drake London","Wr","ATL","1.3","117","No","No","Yes","8450","2025 Core","Active","2026-10-29"
"Justin Jefferson","Wr","MIN","1.3","118","No","No","Yes","9490","2025 Core","Active","2026-10-29"
"DeVonta Smith","Wr","PHI","1.4","112","No","No","Yes","9240","2025 Core","Active","2026-10-29"
"Luther Burden III","Wr","CHI","1.5","90","No","No","Yes","8250","2025 Core","Active","2026-10-29"
"Jaxson Dart","Qb","NYG","1.2","84","No","No","Yes","6720","2025 Core","Listed","2026-10-29"
"George Kittle","Te","SF","1.4","119","No","No","Yes","6720","2025 Core","Listed","2026-10-29"
"Nico Collins","Wr","HOU","1.3","114","No","No","Yes","9100","2025 Core","Active","2026-11-04"
"Romeo Doubs","Wr","NE","1.4","57","No","No","Yes","6440","Primetime-WR","Active","2026-11-04"
"Brock Bowers","Te","LV","1.4","132","No","No","Yes","9660","2025 Core","Active","2026-11-05"
"Travis Etienne Jr.","Rb","NO","1.4","98","No","No","Yes","8260","2025 Core","Active","2026-11-05"
"Quentin Johnston","Wr","LAC","1.3","58","No","No","Yes","6110","2025 Core","Active","2026-11-05"
"Justin Herbert","Qb","LAC","1.5","111","No","No","Yes","9150","Primetime-QB","Active","2026-12-02"
"Kimani Vidal","Rb","LAC","1","47","No","No","Yes","4800","Primetime-RB","Active","2026-12-02"
"Dalton Schultz","Te","HOU","1.4","56","No","No","Yes","4760","Primetime-TE","Active","2026-12-02"
"Travis Etienne Jr.","Rb","NO","1.3","91","No","No","Yes","7670","2025 Core","Active","2026-11-06"
"Luther Burden III","Wr","CHI","1.2","72","No","No","No","6600","2025 Core","Active","2026-11-06"
"Jake Tonges","Te","SF","1.4","50","No","No","No","4620","2025 Core","Active","2026-11-06"
"Rome Odunze","Wr","CHI","1.5","105","No","No","No","8100","2025 Core","Active","2026-11-06"
"Jalen Hurts","Qb","PHI","1.1","101","No","No","No","7260","2025 Core QB","Active","2026-11-06"
"Mason Taylor","Te","NYJ","1.5","57","No","No","No","4200","2025 Core TE","Active","2026-11-06"
"Hunter Henry","Te","NE","1.5","86","No","No","Yes","5700","2025 Core","Active","2026-11-06"
"Hunter Henry","Te","NE","1.2","68","No","No","Yes","4560","2025 Core","Active","2026-11-06"
"Blake Corum","Rb","LAR","1.2","43","No","No","No","6240","2025 Core","Active","2026-11-06"
"DeVonta Smith","Wr","PHI","1","80","No","No","No","6600","2025 Core","Active","2026-11-06"
"Andrei Iosivas","Wr","CIN","1.3","43","No","No","No","4290","2025 Core","Active","2026-11-06"
"Dak Prescott","Qb","DAL","1.2","96","No","No","No","7680","2025 Core","Active","2026-11-06"
"Jalen Coker","Wr","CAR","1.2","52","No","No","Yes","5520","2025 Core","Active","2026-11-06"
"Puka Nacua","Wr","LAR","1.3","126","No","No","Yes","10010","2025 Core","Active","2026-11-07"
"Tee Higgins","Wr","CIN","1.5","124","No","No","Yes","9450","2025 Core","Active","2026-11-07"
"Kyren Williams","Rb","LAR","1.3","112","No","No","Yes","8060","2025 Core","Active","2026-11-08"
"Alvin Kamara","Rb","NO","1.5","114","No","No","No","7350","2025 Core","Active","2026-11-10"
"Tre Tucker","Wr","LV","1.5","72","No","No","No","6000","2025 Core WR","Active","2026-11-10"
"CeeDee Lamb","Wr","DAL","1.4","126","No","No","Yes","10360","2025 Core","Active","2026-11-10"
"Josh Allen","Qb","BUF","1.2","120","No","No","Yes","8400","2025 Core","Active","2026-11-11"
