Player,Positions,Team,Multiplier,Overall,Franchise,Rookie,Tradeable,Salary,Collection,Status,Expires
"Saquon Barkley","Rb","PHI","1.3","114","No","No","Yes","8970","2025 Core","Active","2026-12-25"
"Jaxson Dart","Qb","NYG","1.2","84","No","No","Yes","6720","2025 Core","Active","2026-12-25"
"Kyle Pitts Sr.","Te","ATL","1.3","91","No","No","Yes","6110","2025 Core","Active","2026-12-25"
"Jameson Williams","Wr","DET","1.4","106","No","No","No","8400","2025 Core WR","Active","2026-12-25"
"Ja'Marr Chase","Wr","CIN","1","96","No","No","No","7800","2025 Core WR","Active","2026-12-25"
"Breece Hall","Rb","NYJ","1.3","104","No","No","Yes","8060","2025 Core","Active","2026-12-25"
"Jake Tonges","Te","SF","1.2","43","No","No","Yes","3960","2025 Core","Active","2026-12-25"
"Derrick Henry","Rb","BAL","1","91","No","No","Yes","6700","2025 Core","Active","2026-12-25"
"D'Andre Swift","Rb","CHI","1.3","103","No","No","Yes","7930","2025 Core","Active","2026-12-25"
"Drake Maye","Qb","NE","1.1","94","No","No","Yes","6600","2025 Core","Active","2027-01-03"
"Ray Davis","Rb","BUF","1.2","54","No","No","No","5520","2026 Core","Active","2027-08-13"
"Jameson Williams","Wr","DET","1","76","No","No","No","6000","2026 Core","Active","2027-08-12"
"Malik Washington","Wr","MIA","1.2","47","No","No","Yes","5040","2025 Core","Active","2026-11-11"
"Justin Jefferson","Wr","MIN","1.2","109","Yes","No","Yes","8760","2025 Core","Listed","N/A"
"KC Concepcion","Wr","CLE","1.1","68","No","No","No","5060","2026 Core","Active","2027-08-20"
"Blake Corum","Rb","LAR","1.4","50","No","No","No","7280","2026 Core","Active","2027-08-20"
"Ty Johnson","Rb","BUF","1.4","48","No","No","No","5880","2026 Core RB","Active","2027-08-20"
"Rico Dowdle","Rb","PIT","1.2","61","No","No","No","6240","2026 Core","Active","2027-08-20"
"Tyler Allgeier","Rb","ARI","1.4","78","No","No","No","6860","2026 Core","Active","2027-08-20"
"Ja'Marr Chase","Wr","CIN","1.1","106","No","No","No","8580","2026 Core","Active","2027-08-20"
"AJ Barner","Te","SEA","1.3","66","No","No","No","4680","2026 Core","Active","2027-08-20"
"Trey McBride","Te","ARI","1.4","140","Yes","No","Yes","9520","2024 Core","Listed","N/A"
"Pat Bryant","Wr","DEN","1.4","45","No","No","Yes","5880","2025 Core","Listed","2026-10-16"
"Dalton Kincaid","Te","BUF","1.3","83","No","No","No","5980","2026 Core","Active","2027-08-22"
"Quinshon Judkins","Rb","CLE","1.4","84","No","No","No","7700","2026 Core RB","Active","2027-08-26"
"Michael Mayer","Te","LV","1.2","44","No","No","No","3480","2026 Core TE","Active","2027-08-26"
"Elic Ayomanor","Wr","TEN","1.5","60","No","No","No","5400","2026 Core WR","Active","2027-08-26"
"Derrick Henry","Rb","BAL","1.2","109","No","No","No","8040","2025 Core","Active","2027-07-23"
"Dont'e Thornton Jr.","Wr","LV","1.2","0","No","No","No","3960","2025 Core","Active","2027-07-23"
"Tyrone Tracy Jr.","Rb","NYG","1","70","No","No","No","4800","2025 Core","Active","2027-07-23"
"Christian Kirk","Wr","SF","1.1","51","No","No","No","3300","2025 Core","Active","2027-07-23"
"Michael Mayer","Te","LV","1.3","48","No","No","No","3770","2025 Core","Active","2027-07-23"
"Cam Ward","Qb","TEN","1.2","68","No","No","No","6120","2026 Core","Active","2027-09-03"
"Tyrone Tracy Jr.","Rb","NYG","1.1","77","No","No","No","5280","2026 Core","Active","2027-09-03"
"Jaylen Waddle","Wr","DEN","1.3","92","No","No","No","8190","2026 Core","Active","2027-09-03"
"Davante Adams","Wr","LAR","1.4","113","No","No","No","8680","2026 Core","Active","2027-09-03"
"Tua Tagovailoa","Qb","ATL","1","52","No","No","No","4800","2026 Core","Active","2027-09-03"
"Roman Wilson","Wr","PIT","1","30","No","No","No","3100","2026 Core","Active","2027-09-03"
"Brenton Strange","Te","JAX","1","51","No","No","No","3600","2026 Core","Active","2027-09-03"
"Tyler Higbee","Te","LAR","1.1","48","No","No","No","3520","2026 Core","Active","2027-09-03"
"Khalil Shakir","Wr","BUF","1.3","82","No","No","No","6240","2026 Core","Active","2027-09-03"
"Dyami Brown","Wr","WAS","1.3","34","No","No","No","4160","2026 Core","Active","2027-09-03"
"Jaylin Noel","Wr","HOU","1.2","34","Yes","No","No","4320","2026 Core","Active","N/A"
"Keon Coleman","Wr","BUF","1.2","67","No","No","No","4800","2026 Core","Active","2027-09-03"
"Malachi Fields","Wr","NYG","1.1","36","No","No","No","4730","2026 Core","Active","2027-09-03"
"Aaron Rodgers","Qb","PIT","1.3","72","No","No","No","6890","2026 Core","Active","2027-09-03"
"Davis Allen","Te","LAR","1.5","42","No","No","No","3750","2026 Core TE","Active","2027-09-03"
"Theo Johnson","Te","NYG","1","48","No","No","No","2800","2026 Core TE","Active","2027-09-03"
"Jahan Dotson","Wr","ATL","1.5","68","No","No","No","5550","2026 Core WR","Active","2027-09-03"
"Sam Darnold","Qb","SEA","1.3","90","No","No","No","7150","2026 Core QB","Active","2027-09-03"
"Noah Gray","Te","KC","1.3","46","No","No","Yes","3900","2026 Core","Active","2027-09-03"
"Nicholas Singleton","Rb","TEN","1.4","56","No","No","No","6720","2026 Core RB","Active","2027-09-03"
"Emeka Egbuka","Wr","TB","1.4","98","No","No","No","8680","2026 Core","Active","2027-09-03"
"Germie Bernard","Wr","PIT","1.1","36","No","No","Yes","4290","2026 Core","Active","2027-09-03"
"Matthew Golden","Wr","GB","1.2","73","No","No","Yes","5640","2026 Core","Active","2027-09-03"
"Treylon Burks","Wr","WAS","1.1","30","No","No","Yes","3740","2026 Core","Active","2027-09-03"
"Chris Olave","Wr","NO","1.5","112","No","No","Yes","10050","2025 Core","Listed","2026-10-21"
