"Player","position","multiplier","salary","status","game_window","SOS","Floor","Consensus","Proj.","Ceiling","3D Proj.","GB_Projection","GB_Projection_Floor","GB_Projection_Ceiling"
"Ladd McConkey","WR",1,6300,"Active","Sunday Afternoon","11%",8.9,13.1,15.7,19.3,15.1,15.1,8.9,19.3
"JuJu Smith-Schuster","WR",1.3,4810,"Active","Sunday Morning","12%",3,4.7,4.3,9.4,5,6.5,3.9,12.22
"Ladd McConkey","WR",1.1,6930,"Active","Sunday Afternoon","11%",8.9,13.1,15.7,19.3,15.1,16.61,9.79,21.23
"Jameson Williams","WR",1.5,8400,"Active","Sunday Afternoon","0%",7.9,11.5,12.1,19.1,12.7,19.05,11.85,28.65
"DJ Moore","WR",1.1,6380,"Active","Monday Night",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Demarcus Robinson","WR",1.3,5200,"Active","Thursday Night","-13%",5.2,6.8,7.2,14.9,8.3,10.79,6.76,19.37
"Mike Evans","WR",1.1,7810,"Active","Sunday Afternoon","-2%",8.9,14.2,14.6,20,14.5,15.95,9.79,22
"Adam Thielen","WR",1.1,5940,"Active","Sunday Morning","9%",8.5,12.2,13.3,18.4,13.4,14.74,9.35,20.24
"Jayden Reed","WR",1.3,7930,"Active","Sunday Night","-1%",7,10,11.6,18.8,12.1,15.73,9.1,24.44
"Zay Flowers","WR",1.4,8400,"Active","Sunday Morning","-14%",8.1,13.9,13.6,19.7,13.7,19.18,11.34,27.58
"Quentin Johnston","WR",1.1,5500,"Active","Sunday Afternoon","11%",6.9,10.6,10.6,17.5,11.2,12.32,7.59,19.25
"Tyler Boyd","WR",1.1,3740,"Active","Sunday Morning","16%",5.2,4.1,6.7,11,7.3,8.03,5.72,12.1
"Cedric Tillman","WR",1.1,5390,"Active","Sunday Morning","-1%",8.3,9.6,12.3,18.5,12.8,14.08,9.13,20.35
"Nico Collins","WR",1.4,11340,"Active","Sunday Morning","-8%",10.6,17.8,19.3,23.1,18.3,25.62,14.84,32.34
"Tee Higgins","WR",1.3,8840,"Active","Sunday Morning","-12%",9.3,15.2,16,20.1,15.5,20.15,12.09,26.13
"JuJu Smith-Schuster","WR",1.3,4810,"Active","Sunday Morning","12%",3,4.7,4.3,9.4,5,6.5,3.9,12.22
"Ladd McConkey","WR",1.1,6930,"Active","Sunday Afternoon","11%",8.9,13.1,15.7,19.3,15.1,16.61,9.79,21.23
"Puka Nacua","WR",1.3,10400,"Active","Thursday Night","-13%",10.4,17.8,17.4,22.3,17,22.1,13.52,28.99
"Noah Brown","WR",1.5,6300,"Active","Sunday Morning","2%",6.4,9.2,8.9,16.3,9.9,14.85,9.6,24.45
"Sterling Shepard","WR",1.1,4400,"Active","Sunday Afternoon","-2%",6.5,8.4,9.5,14.8,10,11,7.15,16.28
"Darnell Mooney","WR",1.5,8400,"Active","Monday Night","-6%",8,11.2,11.9,18.5,12.5,18.75,12,27.75
"Amari Cooper","WR",1,5300,"Active","Sunday Afternoon","8%",7.3,11.4,11.6,18.8,12.2,12.2,7.3,18.8
"Rashod Bateman","WR",1,4400,"Active","Sunday Morning","-14%",5.9,8.6,8.4,16.3,9.5,9.5,5.9,16.3
"Joshua Palmer","WR",1.1,5060,"Active","Sunday Afternoon","11%",6.5,7,9.3,15.7,10,11,7.15,17.27
"Amari Cooper","WR",1.2,6360,"Active","Sunday Afternoon","8%",7.3,11.4,11.6,18.8,12.2,14.64,8.76,22.56
"Jonnu Smith","TE",1,5400,"Active","Sunday Morning","-16%",7.7,11.8,13,16.8,12.7,12.7,7.7,16.8
